Name,Authors,Price,Image-url,Rating,NumberOfPages,Format,Publication date,Publisher,Language,ISBN10,ISBN13,Publication City,Publication Country,Width,Height,Thickness,Weight
Machine Learning with Python,ML & Ai Academy,568.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8012/9781801255318.jpg,,186.0,Paperback,2020-11-21,Giale Ltd,English,1801255318,9781801255318,,,152.0,229.0,10.0,254.0
"Machine Learning and Intelligent Communications : 5th International Conference, MLICOM 2020, Shenzhen, China, September 26-27, 2020, Proceedings","Mingxiang Guan, Zhenyu Na",2766.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/0306/9783030667849.jpg,,528.0,Paperback,2021-02-14,Springer,English,3030667847,9783030667849,Cham,Switzerland,,,,
Innovations in Machine Learning : Theory and Applications,Dawn E. Holmes,3980.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/6420/9783642067884.jpg,3.0,276.0,Paperback,2010-11-23,Springer,English,3642067883,9783642067884,Berlin,Germany,155.0,235.0,15.75,450.0
"Building Machine Learning Systems with Python : Explore machine learning and deep learning techniques for building intelligent systems using scikit-learn and TensorFlow, 3rd Edition","Luis Pedro Coelho, Willi Richert, Matthieu Brucher",1310.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7886/9781788623223.jpg,3.8,406.0,Paperback,2018-07-31,Packt Publishing Limited,English,1788623223,9781788623223,Birmingham,United Kingdom,75.0,93.0,21.08,694.0
"Machine Learning for Multimodal Interaction : First International Workshop, MLMI 2004, Martigny, Switzerland, June 21-23, 2004, Revised Selected Papers","Samy Bengio, Hervé Bourlard",2852.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/5402/9783540245094.jpg,,362.0,Paperback,2005-03-24,Springer,English,354024509X,9783540245094,Berlin,Germany,155.0,235.0,19.81,1170.0
"Machine Learning for Multimodal Interaction : 5th International Workshop, MLMI 2008, Utrecht, The Netherlands, September 8-10, 2008, Proceedings","Andrei Popescu-Belis, Rainer Stiefelhagen",1797.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/5408/9783540858522.jpg,,364.0,Paperback,2008-10-01,Springer,English,3540858520,9783540858522,Berlin,Germany,155.0,235.0,22.86,581.0
Machine Learning for Robotics,Jan Peters,1354.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/6390/9783639021103.jpg,4.0,128.0,Paperback,2013-11-04,VDM Verlag Dr. Mueller e.K.,English,363902110X,9783639021103,,,152.0,229.0,7.0,181.0
Machine Learning for Email : Spam Filtering and Priority Inbox,Drew Conway,422.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4493/9781449314309.jpg,3.44,100.0,Paperback,2011-11-25,"O'Reilly Media, Inc, USA",English,1449314309,9781449314309,Sebastopol,United States,,,,
"Machine Learning with Scikit-Learn and Tensorflow : Deep Learning with Python (Random Forests, Decision Trees, and Neural Networks)",Emery H Maxwell,439.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/0921/9781092130776.jpg,,54.0,Paperback,2019-03-29,Independently Published,English,1092130772,9781092130776,,,152.0,229.0,3.0,91.0
Hands-On Machine Learning with IBM Watson : Leverage IBM Watson to implement machine learning techniques and algorithms using Python,James Miller,1310.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7896/9781789611854.jpg,,288.0,Paperback,2019-03-29,Packt Publishing Limited,English,1789611857,9781789611854,Birmingham,United Kingdom,75.0,93.0,15.24,498.95
"Studyguide for an Introduction to Statistical Learning : With Applications in R by James, Gareth, ISBN 9781461471370",Cram101 Textbook Reviews,802.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4970/9781497014442.jpg,,100.0,Paperback,2014-06-18,Academic Internet Publishers,English,1497014441,9781497014442,,,,,,
Information Theory and Statistical Learning,"Frank Emmert-Streib, Matthias Dehmer",3849.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4419/9781441946508.jpg,4.0,439.0,Paperback,2010-11-04,Springer,English,1441946500,9781441946508,"New York, NY",United States,155.0,235.0,23.11,688.0
Practical Automated Machine Learning on Azure : Using Azure Machine Learning to Quickly Build AI Solutions,"Deepak Mukunthu, Parashar Shah, Wee Hyong Tok",1142.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4920/9781492055594.jpg,3.33,225.0,Paperback,2019-10-15,"O'Reilly Media, Inc, USA",English,149205559X,9781492055594,Sebastopol,United States,178.0,233.0,10.67,322.05
Cause Effect Pairs in Machine Learning,"Isabelle Guyon, Alexander Statnikov, Berna Bakir Batu",2996.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/0302/9783030218126.jpg,,372.0,Paperback,2020-11-05,Springer,English,3030218120,9783030218126,Cham,Switzerland,155.0,235.0,20.32,593.0
Big Data Analysis with Python : Combine Spark and Python to unlock the powers of parallel computing and machine learning,"Ivan Marin, Ankit Shukla, Sarang VK",1029.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7899/9781789955286.jpg,4.5,276.0,Paperback,2019-04-10,Packt Publishing Limited,English,1789955289,9781789955286,Birmingham,United Kingdom,75.0,93.0,14.73,480.81
"Mastering Excel VBA and Machine Learning : A Complete, Step-by-Step Guide To Learn and Master Excel VBA and Machine Learning From Scratch",Peter Bradley,1198.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/0914/9781091485266.jpg,,814.0,Paperback,2019-03-28,Independently Published,English,1091485267,9781091485266,,,152.0,229.0,41.0,1066.0
